date,open,high,low,close,volume
2025-01-02,100.50,102.30,99.80,101.20,3500000
2025-01-03,101.30,103.50,100.90,102.80,4200000
2025-01-06,102.90,104.20,102.10,103.50,3800000
2025-01-07,103.60,105.10,103.20,104.70,4100000
2025-01-08,104.80,106.30,104.40,105.90,4500000
2025-01-09,106.00,107.20,105.50,106.80,3900000
2025-01-10,106.90,108.40,106.30,107.60,4300000
2025-01-13,107.70,109.10,107.10,108.30,4600000
2025-01-14,108.40,109.80,107.90,109.20,4800000
2025-01-15,109.30,110.50,108.70,109.80,4200000
2025-01-16,109.90,111.20,109.40,110.70,4400000
2025-01-17,110.80,112.30,110.20,111.50,4700000
2025-01-20,111.60,113.10,111.00,112.40,5100000
2025-01-21,112.50,114.00,112.00,113.30,5300000
2025-01-22,113.40,114.80,112.90,114.10,4900000
2025-01-23,114.20,115.60,113.70,114.90,5200000
2025-01-24,115.00,116.40,114.50,115.80,5500000
2025-01-27,115.90,117.30,115.30,116.70,5700000
2025-01-28,116.80,118.20,116.20,117.50,5900000
2025-01-29,117.60,119.10,117.00,118.40,6100000
